Ship pt,Product Hierarchy,Part Number,Volume,Intermittency
﻿ZTRD,2 B X E,10057034,low,medium
ZTRD,2 B X F,10057083,low,high
ZTRD,2 B Y C,10076001,low,medium
ZTRD,2 A I E,10612503,low,medium
ZTRD,2 A I F,10612504,low,high
ZTRD,2 A J B,10612510,medium,high
ZTRD,2 A J C,10612511,low,high
ZTRD,2 A J E,10612512,medium,medium
ZTRD,2 A J F,10612513,medium,medium
ZTRD,2 A K C,10612516,low,low
ZTRD,2 A K E,10612517,low,medium
ZTRD,2 A K F,10612518,medium,high
ZTRD,2 A L E,10612523,high,medium
ZTRD,2 B A F,10612552,medium,medium
ZTRD,2 B B C,10612553,low,high
ZTRD,2 B B E,10612554,medium,medium
ZTRD,2 B B F,10612555,medium,medium
ZTRD,2 B C F,10612605,low,high
