Ship pt,Product Hierarchy,Part Number,Volume,Intermittency
﻿ZTRD,0 B C E,10016362,low,medium
ZTRD,0 B E E,10016625,low,medium
ZTRD,0 B I F,10022601,low,medium
ZTRD,0 B J C,10022701,low,medium
ZTRD,0 B J E,10022702,low,medium
ZTRD,0 B M C,10024003,low,medium
ZTRD,0 B X C,10024005,low,medium
ZTRD,0 B X G,10024114,low,medium
ZTRD,0 C A E,10024211,low,medium
ZTRD,0 C F E,10024212,low,medium
ZTRD,0 C F F,10025006,low,medium
ZTRD,0 C G E,10026401,low,medium
ZTRD,0 C G F,10030340,low,medium
ZTRD,1 A A A,10030370,low,medium
ZTRD,1 A B E,10030405,medium,high
ZTRD,1 A C E,10030410,low,medium
ZTRD,1 A D A,10030415,low,medium
ZTRD,1 A E E,10030420,low,medium
ZTRD,1 A H E,10030430,low,medium
ZTRD,1 A I E,10030450,medium,high
ZTRD,1 A L A,10030490,low,medium
ZTRD,1 A L F,10030492,low,medium
ZTRD,1 A X E,10030540,low,high
ZTRD,1 A X F,10030550,low,medium
ZTRD,1 B A E,10030560,low,high
ZTRD,1 B B B,10030570,low,medium
ZTRD,1 B B E,10030580,low,medium
ZTRD,1 B D E,10030590,low,medium
ZTRD,1 C X C,10030595,low,medium
ZTRD,1 S Y G,10030600,low,high
ZTRD,1 Y Y C,10030610,low,medium
ZTRD,2 A A E,10030620,medium,medium
ZTRD,2 A C C,10030630,low,medium
ZTRD,2 A C E,10030650,low,medium
ZTRD,2 A G C,10030690,low,medium
ZTRD,2 A G E,10030750,low,high
ZTRD,2 A I B,10031340,low,medium
ZTRD,2 A I C,10031405,low,high
ZTRD,2 A I E,10031415,low,medium
ZTRD,2 A I F,10031450,low,high
ZTRD,2 A J B,10031492,low,high
ZTRD,2 A J C,10031540,low,high
ZTRD,2 A J E,10031550,low,medium
ZTRD,2 A J F,10031570,low,medium
ZTRD,2 A K C,10031595,low,medium
ZTRD,2 A K E,10031610,low,medium
ZTRD,2 A K F,10031620,low,high
ZTRD,2 A L E,10031630,low,medium
ZTRD,2 A M C,10031650,low,medium
ZTRD,2 A M E,10031690,low,medium
ZTRD,2 A P B,10031750,low,high
ZTRD,2 A P C,10034324,low,medium
ZTRD,2 A P E,10036602,low,medium
ZTRD,2 A P F,10037311,low,medium
ZTRD,2 A X C,10037371,low,medium
ZTRD,2 A X E,10040006,low,medium
ZTRD,2 A X F,10040211,low,medium
ZTRD,2 A Y E,10054011,low,medium
ZTRD,2 B A E,10054017,low,medium
ZTRD,2 B A F,10054018,low,medium
ZTRD,2 B B C,10054019,low,medium
ZTRD,2 B B E,10054020,low,medium
ZTRD,2 B B F,10054027,low,medium
ZTRD,2 B C C,10054034,low,medium
ZTRD,2 B C E,10054036,low,medium
ZTRD,2 B C F,10054045,low,medium
ZTRD,2 B D B,10054046,low,medium
ZTRD,2 B D E,10055002,low,medium
ZTRD,2 B D F,10055006,low,high
ZTRD,2 B E C,10055026,low,medium
ZTRD,2 B E E,10057002,low,medium
ZTRD,2 B X C,10057022,low,medium
ZTRD,2 B X E,10057034,medium,medium
ZTRD,2 B X F,10057083,medium,high
ZTRD,2 B Y C,10076001,low,medium
ZTRD,2 C A A,10100340,low,medium
ZTRD,2 C A E,10100426,low,medium
ZTRD,2 D A C,10100779,low,medium
ZTRD,2 D A E,10102317,low,medium
ZTRD,2 D A F,10102400,low,medium
ZTRD,2 D B E,10102401,low,medium
ZTRD,2 D B F,10103101,low,medium
ZTRD,2 D C C,10104021,low,medium
ZTRD,2 D C E,10104022,low,medium
ZTRD,2 D D E,10104023,low,medium
ZTRD,2 D D F,10104028,low,medium
ZTRD,2 D X C,10105011,low,medium
ZTRD,2 D X E,10105012,low,medium
ZTRD,2 D X F,10112050,low,medium
ZTRD,2 X X C,10113011,low,low
ZTRD,2 X X E,10113025,low,low
ZTRD,2 X X F,10115000,low,medium
ZTRD,2 Y A C,10118019,low,medium
ZTRD,2 Y A E,10118420,low,medium
ZTRD,2 Y A F,10118421,low,high
ZTRD,2 Y Y C,10118422,low,medium
ZTRD,2 Y Y E,10118423,low,medium
ZTRD,3 A C C,10118563,low,medium
ZTRD,3 A C F,10122290,low,medium
ZTRD,3 A D B,10122355,low,medium
ZTRD,3 A D C,10122361,low,medium
ZTRD,3 A D E,10124010,low,medium
ZTRD,3 A D F,10124011,low,medium
ZTRD,3 A G B,10124164,low,medium
ZTRD,3 A G C,10124409,low,medium
ZTRD,3 A G E,10125003,low,medium
ZTRD,3 A G F,10125011,low,medium
ZTRD,3 A K E,10125110,low,medium
