Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Volume,Intermittency
﻿ZTRD,2 B X E,10057034,7.0,7.0,12.0,5.0,7.0,13.0,5.0,13.0,13.0,4.0,7.0,10.0,HWES,3.52,64.41,low,medium
ZTRD,2 B X F,10057083,5.0,7.0,5.0,7.0,6.0,4.0,7.0,4.0,5.0,4.0,2.0,4.0,HWES,2.63,29.49,low,high
ZTRD,2 B Y C,10076001,3.0,0,1.0,5.0,1.0,0,0,0,1.0,0,0.0,0.0,HWES,1.25,49.75,low,medium
ZTRD,2 A I E,10612503,5.0,0,2.0,1.0,1.0,1.0,0,3.0,0,0,0,0.0,HWES,2.79,58.12,low,medium
ZTRD,2 A I F,10612504,14.0,5.0,12.0,10.0,7.0,13.0,6.0,8.0,9.0,11.0,12.0,13.0,HWES,5.18,47.57,low,high
ZTRD,2 A J B,10612510,34.0,57.0,51.0,50.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,ARMA,25.69,21.63,medium,high
ZTRD,2 A J C,10612511,3.0,3.0,3.0,3.0,2.0,2.0,3.0,7.0,2.0,1.0,3.0,3.0,HWES,2.3,42.44,low,high
ZTRD,2 A J E,10612512,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,SES,15.58,14.03,medium,medium
ZTRD,2 A J F,10612513,893.0,967.0,844.0,899.0,928.0,950.0,877.0,925.0,765.0,941.0,920.0,790.0,HWES,276.55,30.83,medium,medium
ZTRD,2 A K C,10612516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SES,0.12,0,low,low
ZTRD,2 A K E,10612517,0,0,0,1,1,1,1,1,1,1,1,1,FNN,1.61,0,low,medium
ZTRD,2 A K F,10612518,44.0,27.0,49.0,42.0,32.0,32.0,21.0,24.0,21.0,21.0,42.0,44.0,HWES,15.83,59.19,medium,high
ZTRD,2 A L E,10612523,6825.0,7280.0,5773.0,4656.0,5214.0,4599.0,5724.0,7742.0,4416.0,5986.0,5850.0,5860.0,HWES,1878.32,48.42,high,medium
ZTRD,2 B A F,10612552,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,croston,8.54,32.48,medium,medium
ZTRD,2 B B C,10612553,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,croston,3.49,94.63,low,high
ZTRD,2 B B E,10612554,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,croston,29.8,88.28,medium,medium
ZTRD,2 B B F,10612555,63.0,69.0,86.0,107.0,121.0,67.0,79.0,129.0,89.0,113.0,98.0,91.0,HWES,66.07,153.8,medium,medium
ZTRD,2 B C F,10612605,0,0,0,0,0,0,0,0,0,0,0,0,FNN,0.0,0,low,high
