Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Volume,Intermittency
﻿ZTRD,2 A I B,10612501,406.0,241.0,263.0,266.0,261.0,275.0,320.0,345.0,247.0,241.0,329.0,386.0,HWES,92.43,26.18,medium,medium
ZTRD,1 A I E,10030450,2.0,3.0,4.0,2.0,3.0,2.0,6.0,2.0,5.0,2.0,3.0,2.0,HWES,2.85,52.94,low,high
ZTRD,2 B X C,10057022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,0,low,medium
ZTRD,2 B X E,10057034,7.0,7.0,12.0,5.0,7.0,13.0,5.0,13.0,13.0,4.0,7.0,10.0,HWES,3.52,64.41,low,high
ZTRD,2 B X F,10057083,5.0,7.0,5.0,7.0,6.0,4.0,7.0,4.0,5.0,4.0,2.0,4.0,HWES,2.63,29.49,low,high
ZTRD,2 B Y C,10076001,3.0,0,1.0,5.0,1.0,0,0,0,1.0,0,0.0,0.0,HWES,1.25,49.75,low,high
ZTRD,6 X Z G,10290420,8.0,4.0,14.0,13.0,10.0,8.0,19.0,12.0,31.0,12.0,4.0,0,HWES,5.49,26.97,low,high
ZTRD,2 A J E,10612512,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,SES,15.58,14.03,medium,high
ZTRD,2 A J F,10612513,893.0,967.0,844.0,899.0,928.0,950.0,877.0,925.0,765.0,941.0,920.0,790.0,HWES,276.55,30.83,high,high
ZTRD,2 A K C,10612516,0,0,0,0,0,0,0,0,0,0,0,0,FNN,0.0,0,medium,medium
ZTRD,2 A K E,10612517,0,0,0,0,0,0,0,1,1,1,1,1,FNN,2.81,0,medium,high
ZTRD,2 A K F,10612518,44.0,27.0,49.0,42.0,32.0,32.0,21.0,24.0,21.0,21.0,42.0,44.0,HWES,15.83,59.19,medium,high
ZTRD,2 A L E,10612523,6825.0,7280.0,5773.0,4656.0,5214.0,4599.0,5724.0,7742.0,4416.0,5986.0,5850.0,5860.0,HWES,1878.32,48.42,high,high
