Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Volume,Intermittency
ZTRD,2 B X E,10057034,7.07,6.62,12.19,4.96,6.66,13.48,5.31,13.49,12.63,3.91,7.09,9.68,HWES,3.52,64.41,low,medium
ZTRD,2 B X F,10057083,4.61,7.25,5.13,6.95,5.62,4.44,6.54,4.3,4.61,3.95,1.79,3.7,HWES,2.63,29.49,low,high
ZTRD,2 B Y C,10076001,2.6,0,1.14,4.93,1.26,0,0,0,0.86,0,0.05,0.13,HWES,1.25,49.75,low,medium
ZTRD,2 A I E,10612503,4.97,0,2.38,1.42,1.01,1.02,0,2.56,0,0,0,0.43,HWES,2.79,58.12,low,medium
ZTRD,2 A I F,10612504,13.84,4.69,11.82,10.0,7.07,12.89,6.26,8.49,8.61,10.78,12.18,13.19,HWES,5.18,47.57,low,high
ZTRD,2 A J B,10612510,57.09,72.81,65.63,47.23,79.88,44.81,64.0,73.27,48.39,55.37,72.11,40.58,FNN,23.97,25.57,medium,high
ZTRD,2 A J C,10612511,3.32,2.64,2.58,3.28,2.08,1.63,2.98,7.11,1.93,1.39,2.64,2.82,HWES,2.3,42.44,low,high
ZTRD,2 A J E,10612512,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,SES,15.61,12.9,medium,medium
ZTRD,2 A J F,10612513,892.83,967.03,843.62,899.04,927.96,950.41,876.51,924.91,765.38,941.29,920.31,790.0,HWES,276.55,30.83,medium,medium
ZTRD,2 A K C,10612516,7.38,13.12,17.59,21.05,23.74,25.83,27.45,28.71,29.68,30.44,31.02,31.46,ARMA,0.05,0,low,low
ZTRD,2 A K E,10612517,0.17,0.15,0.18,0.16,0.17,0.15,0.17,0.22,0.24,0.3,0.36,0.37,FNN,2.5,0,low,medium
ZTRD,2 A K F,10612518,44.03,26.82,49.22,41.84,31.86,31.5,20.92,24.45,20.84,20.84,42.44,43.77,HWES,15.83,59.19,medium,high
ZTRD,2 A L E,10612523,6824.72,7280.05,5772.96,4655.75,5214.15,4599.39,5723.54,7741.68,4416.14,5985.61,5849.76,5860.35,HWES,1878.32,48.42,high,medium
ZTRD,2 B A F,10612552,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,SES,8.51,33.42,medium,medium
ZTRD,2 B B C,10612553,5.45,8.85,4.69,5.6,6.33,4.56,6.81,6.68,4.89,5.18,7.03,6.23,AR,3.37,129.55,low,high
ZTRD,2 B B E,10612554,56.37,56.37,56.37,56.37,56.37,56.37,56.37,56.37,56.37,56.37,56.37,56.37,croston,29.8,88.28,medium,medium
ZTRD,2 B B F,10612555,62.77,68.7,85.63,107.25,121.24,67.12,79.0,128.57,88.56,112.78,97.65,90.79,HWES,66.07,153.8,medium,medium
ZTRD,2 B C F,10612605,0.13,0.11,0.08,0.07,0.06,0.08,0.07,0.14,0.08,0.06,0.04,0.05,FNN,0.0,0,low,high
