Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Parameters
﻿ZTRD,0 B C E,10016362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,0 B E E,10016625,0,0.18,0,1.19,0,0.18,0,1.28,0,0,0,0.15,AR,0.81,nan,[]
ZTRD,0 B I F,10022601,1.7,0,0.19,0,0.89,0,1.7,0,0,0,0,0,AR,2.12,nan,[]
ZTRD,0 B J C,10022701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.31,inf,[]
ZTRD,0 B J E,10022702,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,0 B M C,10024003,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,0 B X C,10024005,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,0 B X G,10024114,0,0.04,0.19,0,0,0,0.02,0,0,0,0,0,AR,0.28,nan,[]
ZTRD,0 C A E,10024211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,0 C F E,10024212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,0 C F F,10025006,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,0 C G E,10026401,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.19,nan,[]
ZTRD,0 C G F,10030340,0,0,2.81,2.48,0,1.62,0,2.52,0,0,1.92,0.93,AR,1.94,nan,[]
ZTRD,1 A A A,10030370,0.47,0,1.08,0,0.51,1.0,0.57,0.74,0.99,0.73,0.25,0.29,AR,0.7,nan,[]
ZTRD,1 A B E,10030405,0,1.16,3.84,0,2.79,0,4.08,2.72,2.08,1.83,1.98,0.62,AR,3.33,inf,[]
ZTRD,1 A C E,10030410,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.15,-0.0,-0.0,AR,0.3,inf,[]
ZTRD,1 A D A,10030415,1.24,0.05,0.17,0,0,0,0,0.93,0,0,0,0,AR,0.59,nan,[]
ZTRD,1 A E E,10030420,0.61,0,0.06,0.07,0.39,-0.0,0,0.36,0.11,0.57,0.04,0.12,AR,0.47,nan,[]
ZTRD,1 A H E,10030430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,1 A I E,10030450,1.8,0,6.46,3.63,1.34,1.3,10.43,4.95,2.23,0.23,9.7,4.51,AR,4.47,nan,[]
ZTRD,1 A L A,10030490,0,0.03,0.4,1.47,0.93,0,0.32,1.02,0.1,0.9,0,0.12,AR,0.79,nan,[]
ZTRD,1 A L F,10030492,0.33,0.2,1.13,1.21,0.54,0,0.86,0,0.61,0,0.6,1.76,AR,1.68,inf,[]
ZTRD,1 A X E,10030540,1.98,0.36,0.53,1.08,1.14,1.31,1.22,1.58,2.71,0.74,1.82,1.9,AR,0.91,inf,[]
ZTRD,1 A X F,10030550,0.8,0,0,0.66,1.58,1.43,1.1,0.97,0.16,0.01,0.05,0,AR,1.18,nan,[]
ZTRD,1 B A E,10030560,0,1.47,1.95,0.52,0.47,0,0.21,0,2.71,1.21,0,1.18,AR,1.51,nan,[]
ZTRD,1 B B B,10030570,1.44,0.26,2.03,3.03,1.46,0,2.47,1.11,1.02,2.09,1.17,1.15,AR,1.23,nan,[]
ZTRD,1 B B E,10030580,0.29,0.03,-0.0,0,0,0,0,0,0,0.0,0,0.0,AR,0.36,nan,[]
ZTRD,1 B D E,10030590,2.45,0.68,0.55,0.3,2.6,0.59,0.18,1.14,1.47,0.62,0.5,0.47,AR,0.96,nan,[]
ZTRD,1 C X C,10030595,1.74,0,2.44,0,2.0,0,1.82,0.7,1.66,0.53,4.53,0,AR,1.33,inf,[]
ZTRD,1 S Y G,10030600,1.31,0,0.49,0.84,1.23,0.24,0,0.07,0.03,0.81,0.22,0.92,AR,0.58,nan,[]
ZTRD,1 Y Y C,10030610,0.78,0,0,0,0,0,0,0,0,0,0,0,AR,0.38,nan,[]
ZTRD,2 A A E,10030620,0,2.03,2.14,5.08,3.33,3.75,8.35,0,6.94,0,6.91,1.66,AR,3.75,inf,[]
ZTRD,2 A C C,10030630,0.74,0,1.31,0,3.26,0,1.29,0,2.1,0.0,1.09,-0.0,AR,1.55,nan,[]
ZTRD,2 A C E,10030650,3.67,0.92,0.18,0.65,6.45,0,3.18,0,7.4,0,5.18,0,AR,2.5,nan,[]
ZTRD,2 A G C,10030690,1.17,0,0.49,0,1.6,0,0.93,0.09,0.06,-0.0,0.24,0,AR,0.72,nan,[]
ZTRD,2 A G E,10030750,0.01,0.25,0.72,0.42,-0.0,1.03,0.05,0.07,1.01,0,0.77,0.87,AR,0.57,nan,[]
ZTRD,2 A I B,10031340,0.26,0.12,0,0.2,0,0.91,0,0.02,0.05,0,0.07,0.06,AR,0.29,nan,[]
ZTRD,2 A I C,10031405,0,0,1.18,0.01,0,0.36,0.23,0,1.24,0.04,0,1.02,AR,0.5,nan,[]
ZTRD,2 A I E,10031415,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 A I F,10031450,0,0.14,1.2,-0.0,0,0.15,0,0,0,0,0,0.94,AR,0.45,nan,[]
